% Model,System_batch.mph
% Version,COMSOL 6.0.0.318
% Date,"Jul 11 2023, 14:08"
% Table,Evaluation Group  - 
% Ke,KH,Kr,Kdisp,KqH,Ks,Kd,Kc,Kp,KrD,Kph,light,Time,target
1000000000,1000000000,1000000000,1000000000,2000,3,0.05,1,0.001,1000000000,1.0E-5,0,2.0E-4,0
1000000000,1000000000,1000000000,1000000000,2000,3,0.05,1,0.001,1000000000,1.0E-5,1.0E-5,2.0E-4,1.3080613295622152E-7
1000000000,1000000000,1000000000,1000000000,2000,3,0.05,1,0.001,1000000000,1.0E-5,2.0E-5,2.0E-4,1.4895019389815348E-7
1000000000,1000000000,1000000000,1000000000,2000,3,0.05,1,0.001,1000000000,1.0E-5,3.0000000000000004E-5,2.0E-4,1.542035273283126E-7
1000000000,1000000000,1000000000,1000000000,2000,3,0.05,1,0.001,1000000000,1.0E-5,4.0E-5,2.0E-4,1.5492206714971262E-7
1000000000,1000000000,1000000000,1000000000,2000,3,0.05,1,0.001,1000000000,1.0E-5,5.0E-5,2.0E-4,1.5361958848106417E-7
1000000000,1000000000,1000000000,1000000000,2000,3,0.05,1,0.001,1000000000,1.0E-5,6.000000000000001E-5,2.0E-4,1.5130770531141133E-7
1000000000,1000000000,1000000000,1000000000,2000,3,0.05,1,0.001,1000000000,1.0E-5,7.000000000000001E-5,2.0E-4,1.4846748791221493E-7
1000000000,1000000000,1000000000,1000000000,2000,3,0.05,1,0.001,1000000000,1.0E-5,8.0E-5,2.0E-4,1.45354094989985E-7
1000000000,1000000000,1000000000,1000000000,2000,3,0.05,1,0.001,1000000000,1.0E-5,9.0E-5,2.0E-4,1.4211358394951638E-7
1000000000,1000000000,1000000000,1000000000,2000,3,0.05,1,0.001,1000000000,1.0E-5,1.0E-4,2.0E-4,1.388351876116077E-7
